time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-03T19:03:35.830Z,38.786335,-122.7686691,0.33,1.29,md,12,82,0.01589,0.05,nc,nc73896536,2023-06-03T20:04:18.484Z,"2km NW of The Geysers, CA",earthquake,0.3,0.67,0.19,14,automatic,nc,nc
2023-06-03T19:03:07.489Z,60.3188,-152.9851,107.1,1.1,ml,,,,0.26,ak,ak0237303c9o,2023-06-03T19:05:02.719Z,"Southern Alaska",earthquake,,1.5,,,automatic,ak,ak
2023-06-03T19:02:41.990Z,38.8120003,-122.7761688,0.55,0.96,md,8,116,0.003745,0.02,nc,nc73896531,2023-06-03T19:52:16.404Z,"4km NNW of The Geysers, CA",earthquake,0.32,0.77,0.16,9,automatic,nc,nc
2023-06-03T19:02:09.890Z,38.8359985,-122.8156662,1.33,0.71,md,9,70,0.01332,0.01,nc,nc73896526,2023-06-03T19:40:14.322Z,"8km W of Cobb, CA",earthquake,0.32,1.65,0.16,9,automatic,nc,nc
2023-06-03T18:52:59.650Z,38.7989998,-122.7776642,2.81,0.74,md,9,105,0.01443,0.01,nc,nc73896521,2023-06-03T19:28:14.429Z,"3km NW of The Geysers, CA",earthquake,0.38,0.92,0.05,8,automatic,nc,nc
2023-06-03T18:48:12.967Z,31.655,-104.549,9.24,2.5,ml,28,85,0.043,0.87,us,us7000k651,2023-06-03T20:46:36.040Z,"59 km SSW of Whites City, New Mexico",earthquake,1.45,5.185,0.062,80,reviewed,us,us
2023-06-03T18:45:11.183Z,58.2967,-155.0998,44,0.4,ml,,,,0.46,ak,ak02372zqx0u,2023-06-03T18:47:08.336Z,"Alaska Peninsula",earthquake,,1.1,,,automatic,ak,ak
2023-06-03T18:41:13.520Z,35.6543333,-118.3183333,8.08,0.73,ml,10,166,0.049,0.1,ci,ci40477264,2023-06-03T18:45:28.361Z,"14km ESE of Wofford Heights, CA",earthquake,0.41,0.49,0.372,4,automatic,ci,ci
2023-06-03T18:35:15.120Z,38.8419991,-122.8799973,2.54,0.2,md,11,97,0.004637,0.03,nc,nc73896516,2023-06-03T19:34:11.283Z,"13km ENE of Cloverdale, CA",earthquake,0.39,0.47,0.09,10,automatic,nc,nc
2023-06-03T18:32:47.240Z,19.3991661071777,-155.273330688477,0.930000007152557,1.95,ml,19,38,,0.219999999,hv,hv73438302,2023-06-03T18:38:19.250Z,"6 km SW of Volcano, Hawaii",earthquake,0.26,0.25999999,0.47,10,automatic,hv,hv
2023-06-03T18:19:34.286Z,64.7468,-148.9872,16.2,0.7,ml,,,,0.12,ak,ak02372zle6s,2023-06-03T18:20:53.909Z,"17 km NNE of Four Mile Road, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-06-03T17:52:45.200Z,38.7973328,-122.757164,3.23,0.78,md,10,89,0.003843,0.01,nc,nc73896501,2023-06-03T18:07:10.713Z,"2km N of The Geysers, CA",earthquake,0.37,1.5,0.06,10,automatic,nc,nc
2023-06-03T17:48:35.930Z,38.7978325,-122.7990036,0.25,1.08,md,20,40,0.01001,0.03,nc,nc73896496,2023-06-03T18:40:14.933Z,"4km WNW of The Geysers, CA",earthquake,0.16,0.41,0.12,22,automatic,nc,nc
2023-06-03T17:46:14.280Z,33.2248333,-116.74,10.11,0.68,ml,24,54,0.08185,0.22,ci,ci40477200,2023-06-03T17:50:26.857Z,"3km SE of Lake Henshaw, CA",earthquake,0.35,0.91,0.169,15,automatic,ci,ci
2023-06-03T17:38:32.003Z,61.0901,-147.3699,27.5,3.1,ml,,,,0.23,ak,ak02372z410g,2023-06-03T20:36:24.040Z,"45 km WNW of Tatitlek, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-06-03T17:30:18.496Z,67.1926,-143.1492,1.4,2.5,ml,,,,0.48,ak,ak02372z2a9y,2023-06-03T19:16:19.040Z,"65 km NNE of Chalkyitsik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-06-03T17:22:31.141Z,36.6866,-116.3115,8.7,-0.4,ml,10,118.51,0.042,0.0578,nn,nn00860795,2023-06-03T18:06:00.378Z,"46 km ESE of Beatty, Nevada",earthquake,,1.6,0.21,3,reviewed,nn,nn
2023-06-03T17:18:59.275Z,37.2841,-117.5995,3.7,1.1,ml,10,138,0.063,0.2057,nn,nn00860791,2023-06-03T17:50:29.426Z,"52 km S of Silver Peak, Nevada",earthquake,,3.2,0.86,7,reviewed,nn,nn
2023-06-03T17:18:25.183Z,58.1716,-155.3462,0,0.5,ml,,,,0.26,ak,ak02372yzq5y,2023-06-03T17:19:39.105Z,"85 km NW of Karluk, Alaska",earthquake,,2.5,,,automatic,ak,ak
2023-06-03T17:14:55.870Z,19.1949996948242,-155.501495361328,35.0800018310547,2.49,ml,51,68,,0.109999999,hv,hv73438217,2023-06-03T19:00:40.040Z,"2 km WSW of Pāhala, Hawaii",earthquake,0.5,0.75999999,3.13,28,automatic,hv,hv
2023-06-03T17:10:09.874Z,61.1729,-148.0354,0,1.6,ml,,,,1.62,ak,ak02372yxz97,2023-06-03T17:12:26.490Z,"56 km NE of Whittier, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-06-03T17:08:00.780Z,38.7871666,-122.7723312,-0.08,1.12,md,22,82,0.01358,0.04,nc,nc73896486,2023-06-03T19:09:10.134Z,"2km NW of The Geysers, CA",earthquake,0.19,0.47,0.11,21,automatic,nc,nc
2023-06-03T17:06:26.780Z,-6.3836,130.2352,131.095,4.7,mb,74,90,1.878,0.95,us,us7000k64k,2023-06-03T17:23:20.040Z,"Banda Sea",earthquake,7.99,5.157,0.068,72,reviewed,us,us
2023-06-03T17:02:59.940Z,37.4553333333333,-87.6411666666667,16.15,2.52,md,18,50,0.2815,0.32,nm,nm60527471,2023-06-03T22:15:09.137Z,"7 km N of Nebo, Kentucky",earthquake,0.59,0.89,0.205948347099042,13,reviewed,nm,nm
2023-06-03T16:59:26.220Z,38.8006668,-122.7750015,1.29,1.07,md,13,80,0.01195,0.04,nc,nc73896481,2023-06-03T17:15:11.419Z,"3km NNW of The Geysers, CA",earthquake,0.26,0.46,0.17,14,automatic,nc,nc
2023-06-03T16:57:26.800Z,38.7896652,-122.7746658,0.27,0.77,md,8,113,0.01093,0.02,nc,nc73896476,2023-06-03T17:09:11.380Z,"2km NW of The Geysers, CA",earthquake,0.32,0.87,0.03,8,automatic,nc,nc
2023-06-03T16:50:47.000Z,35.6205,-117.4788333,7.18,1.02,ml,15,81,0.03653,0.18,ci,ci40477152,2023-06-03T16:54:57.172Z,"18km SSW of Searles Valley, CA",earthquake,0.44,0.73,0.152,9,automatic,ci,ci
2023-06-03T16:39:31.660Z,38.8078346,-122.7701645,1.42,0.75,md,9,84,0.009844,0.02,nc,nc73896461,2023-06-03T16:51:11.279Z,"4km NNW of The Geysers, CA",earthquake,0.44,0.79,0.04,12,automatic,nc,nc
2023-06-03T16:36:21.130Z,33.8041667,-117.2186667,12.78,0.96,ml,8,106,0.1569,0.22,ci,ci40477128,2023-06-03T16:40:31.445Z,"3km NNE of Perris, CA",earthquake,0.85,2.17,0.397,7,automatic,ci,ci
2023-06-03T16:35:52.885Z,60.2869,-150.0099,25.9,1.9,ml,,,,0.61,ak,ak02372yhzvc,2023-06-03T16:37:35.226Z,"24 km SSW of Cooper Landing, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-06-03T16:24:33.780Z,38.8088341,-122.7754974,-0.1,1.1,md,18,74,0.005996,0.04,nc,nc73896456,2023-06-03T18:24:10.827Z,"4km NNW of The Geysers, CA",earthquake,0.19,0.38,0.18,18,automatic,nc,nc
2023-06-03T16:18:26.330Z,38.7873344,-122.7669983,2.38,1.29,md,26,78,0.01444,0.02,nc,nc73896446,2023-06-03T17:55:13.646Z,"1km NW of The Geysers, CA",earthquake,0.24,0.43,0.22,27,automatic,nc,nc
2023-06-03T16:18:07.620Z,38.788166,-122.7665024,2.14,1.32,md,22,76,0.01353,0.03,nc,nc73896441,2023-06-03T17:28:13.493Z,"2km NW of The Geysers, CA",earthquake,0.26,0.44,0.23,22,automatic,nc,nc
2023-06-03T16:16:06.320Z,63.023,-150.4896,96.6,1.2,ml,,,,0.62,ak,ak02372ydto8,2023-06-03T16:18:37.077Z,"60 km NNE of Petersville, Alaska",earthquake,,0.8,,,automatic,ak,ak
2023-06-03T16:15:18.690Z,36.2541666666667,-89.4455,7.12,2.77,md,52,50,0.03136,0.19,nm,nm60527461,2023-06-03T16:55:34.809Z,"3 km ESE of Ridgely, Tennessee",earthquake,0.23,0.53,0.092664444797419,43,reviewed,nm,nm
2023-06-03T16:05:34.360Z,38.795166,-122.8228302,2.07,0.77,md,10,103,0.009707,0.03,nc,nc73896431,2023-06-03T17:05:19.371Z,"6km WNW of The Geysers, CA",earthquake,0.45,0.94,0.37,11,automatic,nc,nc
2023-06-03T16:01:35.020Z,38.8260002,-122.8041687,2.28,0.76,md,17,58,0.005296,0.03,nc,nc73896416,2023-06-03T16:43:13.232Z,"7km NW of The Geysers, CA",earthquake,0.23,0.7,0.18,18,automatic,nc,nc
2023-06-03T15:50:09.914Z,62.0311,-151.9291,98.5,1.5,ml,,,,0.54,ak,ak02372xzoov,2023-06-03T15:51:54.140Z,"28 km W of Skwentna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2023-06-03T15:47:35.946Z,63.2801,-150.465,107.3,1.3,ml,,,,0.32,ak,ak02372xz3ju,2023-06-03T15:49:26.140Z,"69 km ESE of Denali National Park, Alaska",earthquake,,1.3,,,automatic,ak,ak
